,look,count
0,sport,7
1,adventure,44
2,classy,50
3,sporty,34
4,retro,31
5,touring,2
6,classic,38
7,modern,94
8,bold,2
9,sleek,3
10, stylish,7
11, rugged,2
12, sporty,11
13, off-road,1
14, bobber,2
15, muscular,1
16,aggressive,4
17,race-inspired,2
18,commuter,3
19,bobber,1
20,cruiser,4
21,futuristic,7
22,practical,3
23, cruiser,1
24, aggressive,7
25, touring,1
26, vintage,4
27, beginner-friendly,1
28,motocross,3
29,enduro,2
30,simple,3
31, reliable,3
32,fun,1
33,budget,1
34,rugged,2
35,retro-modern,2
36,sharp,3
37, classic,1
38,naked,2
39,dirt,1
40,stylish,1
41,urban,1
42,retro-inspired,10
